Region,Year,Average of Salary in USD
Africa,2020,60000
Africa,2021,46666.66667
Africa,2022,84450
Africa,2023,45491.4
Asia,2020,114056.6667
Asia,2021,47731.14815
Asia,2022,36382.13636
Asia,2023,40483.43333
Europe,2020,61324.63333
Europe,2021,72135.19403
Europe,2022,73135.81657
Europe,2023,105440.4194
Middle East,2020,115000
Middle East,2021,109529.5
Middle East,2022,95000
Middle East,2023,220587
North America,2020,133865.9474
North America,2021,134142.2018
North America,2022,147654.1798
North America,2023,161655.3901
Oceania,2020,125000
Oceania,2021,45043.66667
Oceania,2022,84853.63636
Oceania,2023,173815.3333
South America,2021,26197.25
South America,2022,68500
South America,2023,66307.63636
Colombia,2021,21844
Colombia,2022,125000
Colombia,2023,74000
Croatia,2020,45618
Croatia,2023,92280
Czechia,2021,69999
Czechia,2022,30469
Czechia,2023,107968
Denmark,2020,45896
Denmark,2021,45445.33333
Denmark,2023,64781
Ecuador,2023,16000
Egypt,2022,22800
Estonia,2022,31520
Estonia,2023,47802.625
Finland,2022,63040
Finland,2023,71259
France,2020,50066.4
France,2021,63072.66667
France,2022,74123.85714
France,2023,103332.9412
Germany,2020,64749.75
Germany,2021,85365.26667
Germany,2022,70410.84211
Germany,2023,115848.4286
Ghana,2021,30000
Ghana,2022,15000
Ghana,2023,36000
Greece,2020,47899
Greece,2021,40189
Greece,2022,51749.75
Honduras,2020,20000
Hong Kong,2023,65058
Hungary,2020,35735
Hungary,2022,17684
India,2020,40481
India,2021,33513.4375
India,2022,35708.92857
India,2023,35837.55556
Indonesia,2022,34208
Iran,2022,100000
Iraq,2021,100000
Ireland,2022,120301
Ireland,2023,113143.2
Israel,2021,119059
Israel,2023,266468.5
Italy,2020,21669
Italy,2021,51064
Italy,2022,46229
Italy,2023,53863.44444
Japan,2020,150844.5
Japan,2021,95768.75
Japan,2022,41809
Japan,2023,160000
Kenya,2023,65000
Latvia,2023,58302.5
Lithuania,2022,94812
Luxembourg,2020,62726
Luxembourg,2021,59102
Malaysia,2022,40000
Malta,2021,28369
Mexico,2020,33511
Mexico,2022,132500
Mexico,2023,80000
Moldova,2021,18000
Netherlands,2020,42000
Netherlands,2021,57566
Netherlands,2022,85288.88889
Netherlands,2023,99248.4
New Zealand,2020,125000
Nigeria,2020,60000
Nigeria,2021,55000
Nigeria,2022,200000
Nigeria,2023,39000
Norway,2023,88462
Pakistan,2022,30000
Philippines,2021,50000
Philippines,2023,15680
Poland,2021,76246.66667
Poland,2022,38987
Poland,2023,40744.5
Portugal,2020,36494.5
Portugal,2021,60757
Portugal,2022,48921.375
Portugal,2023,43206.16667
Puerto Rico,2022,167500
Qatar,2023,300000
Romania,2021,60000
Romania,2023,53984
Russia,2021,157500
Russia,2022,61227.5
Russia,2023,46500
Saudi Arabia,2023,134999
Singapore,2021,78132
Singapore,2022,65257
Singapore,2023,46197
Slovenia,2021,63831
Slovenia,2023,62081
South Africa,2023,34482
South Korea,2023,47000
Spain,2020,59304.5
Spain,2021,51331.4
Spain,2022,48038.55556
Spain,2023,68868.73333
Sweden,2023,98791.33333
Switzerland,2022,93878.33333
Switzerland,2023,83661.33333
Thailand,2021,15000
Thailand,2023,26957
Turkey,2021,24093.5
Turkey,2022,25000
Turkey,2023,19190.5
Ukraine,2023,72666.66667
United Arab Emirates,2020,115000
United Arab Emirates,2022,92500
United Kingdom,2020,103225.25
United Kingdom,2021,79003.53333
United Kingdom,2022,85379.33803
United Kingdom,2023,120697.6305
United States of America,2020,147167.8182
United States of America,2021,137973.4948
United States of America,2022,148578.5139
United States of America,2023,162701.3117
